RUC_Patrono,Periodo,Cedula_Empleado,Nombre_Completo,Cargo,Departamento,Tipo_Contrato,Fecha_Ingreso,Salario_Bruto,Deducciones_CSS,Patronal_CSS,Impuesto_Renta_Retenido,Salario_Neto,Estado_Empleado
4-721-985 DV 88,1/1/2024,PE-69-566,Empleado_Agr_18,Analista,Finanzas,Indefinido,5/15/2023,1913.67,186.58,234.42,95.68,1631.4,Activo
4-721-985 DV 88,1/1/2024,PE-37-679,Empleado_Agr_19,Coordinador,Tecnologia,Temporal,5/15/2023,1283.69,125.16,157.25,64.18,1094.35,Activo
4-721-985 DV 88,1/1/2024,PE-20-571,Empleado_Agr_20,Operario,Finanzas,Temporal,5/15/2023,3374.55,329.02,413.38,168.73,2876.81,Activo
4-721-985 DV 88,1/1/2024,PE-80-756,Empleado_Agr_21,Supervisor,Finanzas,Temporal,5/15/2023,2383.54,232.4,291.98,119.18,2031.97,Activo
4-721-985 DV 88,1/1/2024,PE-17-924,Empleado_Agr_22,Analista,Ventas,Indefinido,5/15/2023,2767.38,269.82,339,138.37,2359.19,Activo
4-721-985 DV 88,1/1/2024,PE-63-399,Empleado_Agr_23,Analista,Operaciones,Por Obra,5/15/2023,1601.24,156.12,196.15,80.06,1365.06,Activo
4-721-985 DV 88,1/1/2024,PE-39-210,Empleado_Agr_24,Supervisor,Logistica,Por Obra,5/15/2023,2017.42,196.7,247.13,100.87,1719.85,Activo
4-721-985 DV 88,1/1/2024,PE-53-139,Empleado_Agr_25,Coordinador,Ventas,Por Obra,5/15/2023,1618.32,157.79,198.24,80.92,1379.61,Activo
4-721-985 DV 88,1/1/2024,PE-95-506,Empleado_Agr_26,Coordinador,Ventas,Temporal,5/15/2023,1284.03,125.19,157.29,64.2,1094.64,Activo
4-721-985 DV 88,1/1/2024,PE-37-958,Empleado_Agr_27,Analista,Ventas,Temporal,5/15/2023,1632.2,159.14,199.94,81.61,1391.45,Activo
4-721-985 DV 88,1/1/2024,PE-11-554,Empleado_Agr_28,Operario,Ventas,Indefinido,5/15/2023,2471.33,240.95,302.74,123.57,2106.81,Activo
4-721-985 DV 88,1/1/2024,PE-15-431,Empleado_Agr_29,Operario,Finanzas,Indefinido,5/15/2023,1154.63,112.58,141.44,57.73,984.33,Activo
4-721-985 DV 88,1/1/2024,PE-45-856,Empleado_Agr_30,Operario,Finanzas,Por Obra,5/15/2023,1940.07,189.16,237.66,97,1653.91,Activo
15523-2-65342 DV 45,2/1/2024,PE-93-886,Empleado_Inv_1,Operario,Operaciones,Temporal,5/15/2023,851.01,82.97,104.25,0,768.04,Activo
15523-2-65342 DV 45,2/1/2024,PE-64-774,Empleado_Inv_2,Gerente,Finanzas,Indefinido,5/15/2023,1363.91,132.98,167.08,68.2,1162.73,Activo
15523-2-65342 DV 45,2/1/2024,PE-91-349,Empleado_Inv_3,Coordinador,Finanzas,Temporal,5/15/2023,2565.51,250.14,314.27,128.28,2187.09,Activo
15523-2-65342 DV 45,2/1/2024,PE-67-506,Empleado_Inv_4,Coordinador,Operaciones,Por Obra,5/15/2023,2694.15,262.68,330.03,134.71,2296.76,Activo
15523-2-65342 DV 45,2/1/2024,PE-48-947,Empleado_Inv_5,Operario,Finanzas,Por Obra,5/15/2023,,205.21,257.83,105.24,1794.32,Activo
15523-2-65342 DV 45,2/1/2024,PE-16-966,Empleado_Inv_6,Supervisor,Operaciones,Por Obra,5/15/2023,2387.69,232.8,292.49,119.38,2035.5,Activo
15523-2-65342 DV 45,2/1/2024,PE-92-985,Empleado_Inv_7,Gerente,Tecnologia,Indefinido,5/15/2023,2523.61,246.05,309.14,126.18,2151.38,Activo
15523-2-65342 DV 45,2/1/2024,PE-19-511,Empleado_Inv_8,Operario,Ventas,Indefinido,5/15/2023,2025.37,197.47,248.11,101.27,1726.63,Activo
15523-2-65342 DV 45,2/1/2024,PE-95-147,Empleado_Inv_9,Coordinador,Finanzas,Por Obra,5/15/2023,993.81,96.9,121.74,0,896.91,Activo
15523-2-65342 DV 45,2/1/2024,PE-40-168,Empleado_Inv_10,Coordinador,Tecnologia,Indefinido,5/15/2023,1418.31,138.29,173.74,70.92,1209.11,Activo
15523-2-65342 DV 45,2/1/2024,PE-48-101,Empleado_Inv_11,Gerente,Ventas,Temporal,5/15/2023,3232.72,315.19,396.01,161.64,2755.89,Activo
15523-2-65342 DV 45,2/1/2024,PE-86-890,Empleado_Inv_12,Analista,Tecnologia,Temporal,5/15/2023,3220.79,314.03,394.55,161.04,2745.72,Activo
15523-2-65342 DV 45,2/1/2024,PE-27-107,Empleado_Inv_13,Gerente,Logistica,Por Obra,5/15/2023,2232.8,217.7,273.52,111.64,1903.46,Activo
15523-2-65342 DV 45,2/1/2024,PE-18-501,Empleado_Inv_14,Operario,Finanzas,Indefinido,5/15/2023,1585.91,154.63,194.27,79.3,1351.99,Activo
8-842-1324 DV 12,2/1/2024,PE-32-835,Empleado_Tec_1,Operario,Operaciones,Por Obra,5/15/2023,1447.11,141.09,177.27,72.36,1233.66,Activo
8-842-1324 DV 12,2/1/2024,PE-37-866,Empleado_Tec_2,Coordinador,Ventas,Indefinido,5/15/2023,2057.67,200.62,252.06,102.88,1754.16,Activo
8-842-1324 DV 12,2/1/2024,PE-78-783,Empleado_Tec_3,Analista,Logistica,Por Obra,5/15/2023,3218.93,313.85,394.32,160.95,2744.14,Activo
8-842-1324 DV 12,2/1/2024,PE-80-132,Empleado_Tec_4,Gerente,Operaciones,Indefinido,5/15/2023,,324.32,407.47,166.32,2835.69,Activo
8-842-1324 DV 12,2/1/2024,PE-26-665,Empleado_Tec_5,Analista,Tecnologia,Temporal,5/15/2023,2736.86,266.84,335.26,136.84,2333.17,Activo
8-842-1324 DV 12,2/1/2024,PE-94-582,Empleado_Tec_6,Gerente,Operaciones,Indefinido,5/15/2023,2103.43,205.08,257.67,105.17,1793.17,Activo
8-842-1324 DV 12,2/1/2024,PE-82-384,Empleado_Tec_7,Operario,Finanzas,Por Obra,5/15/2023,2245.67,218.95,275.09,112.28,1914.43,Activo
8-842-1324 DV 12,2/1/2024,PE-79-230,Empleado_Tec_8,Operario,Tecnologia,Por Obra,5/15/2023,1371.73,133.74,168.04,68.59,1169.4,Activo
8-842-1324 DV 12,2/1/2024,PE-51-600,Empleado_Tec_9,Coordinador,Tecnologia,Indefinido,5/15/2023,966.23,94.21,118.36,0,872.02,Activo
8-842-1324 DV 12,2/1/2024,PE-32-877,Empleado_Tec_10,Analista,Ventas,Indefinido,5/15/2023,1877.34,183.04,229.97,93.87,1600.43,Activo
8-842-1324 DV 12,2/1/2024,PE-46-773,Empleado_Tec_11,Coordinador,Operaciones,Indefinido,5/15/2023,2997.42,292.25,367.18,149.87,2555.3,Activo
8-842-1324 DV 12,2/1/2024,PE-57-681,Empleado_Tec_12,Operario,Operaciones,Por Obra,5/15/2023,3163.93,308.48,387.58,158.2,2697.25,Activo
8-842-1324 DV 12,2/1/2024,PE-90-509,Empleado_Tec_13,Supervisor,Finanzas,Indefinido,5/15/2023,3041.24,296.52,372.55,152.06,2592.66,Activo
8-842-1324 DV 12,2/1/2024,PE-69-543,Empleado_Tec_14,Analista,Operaciones,Por Obra,5/15/2023,1682.16,164.01,206.06,84.11,1434.04,Activo
8-842-1324 DV 12,2/1/2024,PE-87-186,Empleado_Tec_15,Supervisor,Tecnologia,Temporal,5/15/2023,2494.47,243.21,305.57,124.72,2126.53,Activo
8-842-1324 DV 12,2/1/2024,PE-68-504,Empleado_Tec_16,Operario,Logistica,Por Obra,5/15/2023,2118.37,206.54,259.5,105.92,1805.91,Activo
4-721-985 DV 88,2/1/2024,PE-15-735,Empleado_Agr_1,Gerente,Finanzas,Indefinido,5/15/2023,1046.54,102.04,128.2,0,944.5,Activo
4-721-985 DV 88,2/1/2024,PE-79-529,Empleado_Agr_2,Coordinador,Operaciones,Temporal,5/15/2023,1343.66,131.01,164.6,67.18,1145.47,Activo
4-721-985 DV 88,2/1/2024,PE-12-233,Empleado_Agr_3,Analista,Logistica,Por Obra,5/15/2023,1585.98,154.63,194.28,79.3,1352.05,Activo
4-721-985 DV 88,2/1/2024,PE-15-286,Empleado_Agr_4,Gerente,Tecnologia,Por Obra,5/15/2023,2557.35,249.34,313.28,127.87,2180.14,Activo
4-721-985 DV 88,2/1/2024,PE-49-896,Empleado_Agr_5,Supervisor,Logistica,Indefinido,5/15/2023,942.15,91.86,115.41,0,850.29,Activo
4-721-985 DV 88,2/1/2024,PE-44-212,Empleado_Agr_6,Coordinador,Operaciones,Por Obra,5/15/2023,879.56,85.76,107.75,0,793.81,Activo
4-721-985 DV 88,2/1/2024,PE-99-602,Empleado_Agr_7,Gerente,Tecnologia,Indefinido,5/15/2023,1271.7,123.99,155.78,63.59,1084.13,Activo
4-721-985 DV 88,2/1/2024,PE-25-794,Empleado_Agr_8,Gerente,Operaciones,Temporal,5/15/2023,1480.45,144.34,181.36,74.02,1262.08,Activo
4-721-985 DV 88,2/1/2024,PE-46-397,Empleado_Agr_9,Gerente,Tecnologia,Por Obra,5/15/2023,3037.18,296.12,372.05,151.86,2589.19,Activo
4-721-985 DV 88,2/1/2024,PE-14-204,Empleado_Agr_10,Analista,Finanzas,Por Obra,5/15/2023,3464.33,337.77,424.38,173.22,2953.34,Activo
4-721-985 DV 88,2/1/2024,PE-86-245,Empleado_Agr_11,Analista,Ventas,Indefinido,5/15/2023,,242.48,304.65,124.35,2120.15,Activo
4-721-985 DV 88,2/1/2024,PE-17-572,Empleado_Agr_12,Coordinador,Ventas,Temporal,5/15/2023,1155.1,112.62,141.5,57.75,984.72,Activo
4-721-985 DV 88,2/1/2024,PE-28-386,Empleado_Agr_13,Supervisor,Tecnologia,Por Obra,5/15/2023,3034.92,295.91,371.78,151.75,2587.27,Activo
4-721-985 DV 88,2/1/2024,PE-20-565,Empleado_Agr_14,Coordinador,Tecnologia,Por Obra,5/15/2023,2371.11,231.18,290.46,118.56,2021.37,Activo
4-721-985 DV 88,2/1/2024,PE-10-150,Empleado_Agr_15,Supervisor,Ventas,Por Obra,5/15/2023,2251.35,219.51,275.79,112.57,1919.28,Activo
4-721-985 DV 88,2/1/2024,PE-37-818,Empleado_Agr_16,Gerente,Logistica,Indefinido,5/15/2023,1542.72,150.42,188.98,77.14,1315.17,Activo
4-721-985 DV 88,2/1/2024,PE-81-376,Empleado_Agr_17,Gerente,Logistica,Indefinido,5/15/2023,1708.81,166.61,209.33,85.44,1456.76,Activo
4-721-985 DV 88,2/1/2024,PE-69-566,Empleado_Agr_18,Analista,Finanzas,Indefinido,5/15/2023,1675.1,163.32,205.2,83.76,1428.02,Activo
4-721-985 DV 88,2/1/2024,PE-37-679,Empleado_Agr_19,Coordinador,Tecnologia,Temporal,5/15/2023,2796.82,272.69,342.61,139.84,2384.29,Activo
4-721-985 DV 88,2/1/2024,PE-20-571,Empleado_Agr_20,Operario,Finanzas,Temporal,5/15/2023,1681.89,163.98,206.03,84.09,1433.81,Activo
4-721-985 DV 88,2/1/2024,PE-80-756,Empleado_Agr_21,Supervisor,Finanzas,Temporal,5/15/2023,3059.07,298.26,374.74,152.95,2607.86,Activo
4-721-985 DV 88,2/1/2024,PE-17-924,Empleado_Agr_22,Analista,Ventas,Indefinido,5/15/2023,1176.3,114.69,144.1,58.82,1002.8,Activo
4-721-985 DV 88,2/1/2024,PE-63-399,Empleado_Agr_23,Analista,Operaciones,Por Obra,5/15/2023,2988,291.33,366.03,149.4,2547.27,Activo
4-721-985 DV 88,2/1/2024,PE-39-210,Empleado_Agr_24,Supervisor,Logistica,Por Obra,5/15/2023,1589.54,154.98,194.72,79.48,1355.09,Activo
4-721-985 DV 88,2/1/2024,PE-53-139,Empleado_Agr_25,Coordinador,Ventas,Por Obra,5/15/2023,1891.07,184.38,231.66,94.55,1612.14,Activo
4-721-985 DV 88,2/1/2024,PE-95-506,Empleado_Agr_26,Coordinador,Ventas,Temporal,5/15/2023,1743.18,169.96,213.54,87.16,1486.06,Activo
4-721-985 DV 88,2/1/2024,PE-37-958,Empleado_Agr_27,Analista,Ventas,Temporal,5/15/2023,2330.34,227.21,285.47,116.52,1986.61,Activo
4-721-985 DV 88,2/1/2024,PE-11-554,Empleado_Agr_28,Operario,Ventas,Indefinido,5/15/2023,2352.88,229.41,288.23,117.64,2005.83,Activo
4-721-985 DV 88,2/1/2024,PE-15-431,Empleado_Agr_29,Operario,Finanzas,Indefinido,5/15/2023,983.95,95.94,120.53,0,888.02,Activo
4-721-985 DV 88,2/1/2024,PE-45-856,Empleado_Agr_30,Operario,Finanzas,Por Obra,5/15/2023,1108.07,108.04,135.74,55.4,944.63,Activo
15523-2-65342 DV 45,3/1/2024,PE-93-886,Empleado_Inv_1,Operario,Operaciones,Temporal,5/15/2023,1557.04,151.81,190.74,77.85,1327.37,Activo
15523-2-65342 DV 45,3/1/2024,PE-64-774,Empleado_Inv_2,Gerente,Finanzas,Indefinido,5/15/2023,1991.43,194.16,243.95,99.57,1697.7,Activo
15523-2-65342 DV 45,3/1/2024,PE-91-349,Empleado_Inv_3,Coordinador,Finanzas,Temporal,5/15/2023,1729.9,168.67,211.91,86.5,1474.74,Activo
15523-2-65342 DV 45,3/1/2024,PE-67-506,Empleado_Inv_4,Coordinador,Operaciones,Por Obra,5/15/2023,,182.81,229.69,93.75,1598.43,Activo
15523-2-65342 DV 45,3/1/2024,PE-48-947,Empleado_Inv_5,Operario,Finanzas,Por Obra,5/15/2023,2510.37,244.76,307.52,125.52,2140.09,Activo
15523-2-65342 DV 45,3/1/2024,PE-16-966,Empleado_Inv_6,Supervisor,Operaciones,Por Obra,5/15/2023,3338.12,325.47,408.92,166.91,2845.75,Activo
15523-2-65342 DV 45,3/1/2024,PE-92-985,Empleado_Inv_7,Gerente,Tecnologia,Indefinido,5/15/2023,2687.57,262.04,329.23,134.38,2291.15,Activo
15523-2-65342 DV 45,3/1/2024,PE-19-511,Empleado_Inv_8,Operario,Ventas,Indefinido,5/15/2023,2701.25,263.37,330.9,135.06,2302.81,Activo
15523-2-65342 DV 45,3/1/2024,PE-95-147,Empleado_Inv_9,Coordinador,Finanzas,Por Obra,5/15/2023,2223.69,216.81,272.4,111.18,1895.69,Activo
15523-2-65342 DV 45,3/1/2024,PE-40-168,Empleado_Inv_10,Coordinador,Tecnologia,Indefinido,5/15/2023,3041.42,296.54,372.57,152.07,2592.81,Activo
15523-2-65342 DV 45,3/1/2024,PE-48-101,Empleado_Inv_11,Gerente,Ventas,Temporal,5/15/2023,1850.59,180.43,226.7,92.53,1577.63,Activo
15523-2-65342 DV 45,3/1/2024,PE-86-890,Empleado_Inv_12,Analista,Tecnologia,Temporal,5/15/2023,,233.5,293.38,119.75,2041.67,Activo
15523-2-65342 DV 45,3/1/2024,PE-27-107,Empleado_Inv_13,Gerente,Logistica,Por Obra,5/15/2023,2541.99,247.84,311.39,127.1,2167.04,Activo
15523-2-65342 DV 45,3/1/2024,PE-18-501,Empleado_Inv_14,Operario,Finanzas,Indefinido,5/15/2023,1664.1,162.25,203.85,83.21,1418.65,Activo
8-842-1324 DV 12,3/1/2024,PE-32-835,Empleado_Tec_1,Operario,Operaciones,Por Obra,5/15/2023,1212.55,118.22,148.54,60.63,1033.7,Activo
8-842-1324 DV 12,3/1/2024,PE-37-866,Empleado_Tec_2,Coordinador,Ventas,Indefinido,5/15/2023,2496.77,243.44,305.85,124.84,2128.5,Activo
8-842-1324 DV 12,3/1/2024,PE-78-783,Empleado_Tec_3,Analista,Logistica,Por Obra,5/15/2023,3316.31,323.34,406.25,165.82,2827.16,Activo
8-842-1324 DV 12,3/1/2024,PE-80-132,Empleado_Tec_4,Gerente,Operaciones,Indefinido,5/15/2023,3113.29,303.55,381.38,155.66,2654.08,Activo
8-842-1324 DV 12,3/1/2024,PE-26-665,Empleado_Tec_5,Analista,Tecnologia,Temporal,5/15/2023,2660.59,259.41,325.92,133.03,2268.16,Activo
8-842-1324 DV 12,3/1/2024,PE-94-582,Empleado_Tec_6,Gerente,Operaciones,Indefinido,5/15/2023,3201.67,312.16,392.21,160.08,2729.43,Activo
8-842-1324 DV 12,3/1/2024,PE-82-384,Empleado_Tec_7,Operario,Finanzas,Por Obra,5/15/2023,1866.23,181.96,228.61,93.31,1590.96,Activo
8-842-1324 DV 12,3/1/2024,PE-79-230,Empleado_Tec_8,Operario,Tecnologia,Por Obra,5/15/2023,3246.45,316.53,397.69,162.32,2767.6,Activo
8-842-1324 DV 12,3/1/2024,PE-51-600,Empleado_Tec_9,Coordinador,Tecnologia,Indefinido,5/15/2023,898.48,87.6,110.06,0,810.88,Activo
8-842-1324 DV 12,3/1/2024,PE-32-877,Empleado_Tec_10,Analista,Ventas,Indefinido,5/15/2023,1594.89,155.5,195.37,79.74,1359.64,Activo
8-842-1324 DV 12,3/1/2024,PE-46-773,Empleado_Tec_11,Coordinador,Operaciones,Indefinido,5/15/2023,1064.81,103.82,130.44,0,960.99,Activo
8-842-1324 DV 12,3/1/2024,PE-57-681,Empleado_Tec_12,Operario,Operaciones,Por Obra,5/15/2023,2531.82,246.85,310.15,126.59,2158.38,Activo
8-842-1324 DV 12,3/1/2024,PE-90-509,Empleado_Tec_13,Supervisor,Finanzas,Indefinido,5/15/2023,2888.08,281.59,353.79,144.4,2462.09,Activo
8-842-1324 DV 12,3/1/2024,PE-69-543,Empleado_Tec_14,Analista,Operaciones,Por Obra,5/15/2023,915.41,89.25,112.14,0,826.15,Activo
8-842-1324 DV 12,3/1/2024,PE-87-186,Empleado_Tec_15,Supervisor,Tecnologia,Temporal,5/15/2023,1073.57,104.67,131.51,0,968.89,Activo
8-842-1324 DV 12,3/1/2024,PE-68-504,Empleado_Tec_16,Operario,Logistica,Por Obra,5/15/2023,2961.85,288.78,362.83,148.09,2524.97,Activo
4-721-985 DV 88,3/1/2024,PE-15-735,Empleado_Agr_1,Gerente,Finanzas,Indefinido,5/15/2023,1079.81,105.28,132.28,0,974.53,Activo
4-721-985 DV 88,3/1/2024,PE-79-529,Empleado_Agr_2,Coordinador,Operaciones,Temporal,5/15/2023,3420.93,333.54,419.06,171.05,2916.35,Activo
4-721-985 DV 88,3/1/2024,PE-12-233,Empleado_Agr_3,Analista,Logistica,Por Obra,5/15/2023,1930.84,188.26,236.53,96.54,1646.04,Activo
4-721-985 DV 88,3/1/2024,PE-15-286,Empleado_Agr_4,Gerente,Tecnologia,Por Obra,5/15/2023,2980.25,290.57,365.08,149.01,2540.66,Activo
4-721-985 DV 88,3/1/2024,PE-49-896,Empleado_Agr_5,Supervisor,Logistica,Indefinido,5/15/2023,896.34,87.39,109.8,0,808.95,Activo
4-721-985 DV 88,Mar-24,PE-44-212,Empleado_Agr_6,Coordinador,Operaciones,Por Obra,5/15/2023,2444.58,238.35,299.46,122.23,2084.01,Activo
4-721-985 DV 88,3/1/2024,PE-99-602,Empleado_Agr_7,Gerente,Tecnologia,Indefinido,5/15/2023,1161.72,113.27,142.31,58.09,990.37,Activo
4-721-985 DV 88,3/1/2024,PE-25-794,Empleado_Agr_8,Gerente,Operaciones,Temporal,5/15/2023,1765.16,172.1,216.23,88.26,1504.8,Activo
4-721-985 DV 88,3/1/2024,PE-46-397,Empleado_Agr_9,Gerente,Tecnologia,Por Obra,5/15/2023,1779.57,173.51,218,88.98,1517.09,Activo
4-721-985 DV 88,3/1/2024,PE-14-204,Empleado_Agr_10,Analista,Finanzas,Por Obra,5/15/2023,2047.13,199.59,250.77,102.36,1745.17,Activo
